osm_id,highway,lanes,maxspeed,name,oneway,WKT
6290743663,nan,,,,,POINT (-77.074738 -11.9252672)
6290814323,nan,,,,,POINT (-77.0616648 -11.9694527)
6292464350,nan,,,,,POINT (-77.0752733 -11.9253012)
6292597680,nan,,,,,POINT (-77.0714912 -12.0063464)
6292597681,nan,,,,,POINT (-77.0716117 -12.0063674)
6294788272,nan,,,,,POINT (-77.083417 -11.9455511)
6300292700,nan,,,,,POINT (-77.0769303 -12.0102979)
6300406100,nan,,,,,POINT (-77.0802558 -11.9771343)
6300406101,nan,,,,,POINT (-77.080184 -11.9767005)
6300724094,nan,,,,,POINT (-77.0613707 -11.9715203)
6302572252,nan,,,,,POINT (-77.073614 -11.9556893)
6302572253,nan,,,,,POINT (-77.0735003 -11.9556729)
6315203902,nan,,,,,POINT (-77.0633743 -11.9971183)
6315203903,nan,,,,,POINT (-77.0634252 -11.9973262)
6467104516,nan,,,,,POINT (-77.0717734 -12.0021362)
6495435017,nan,,,,,POINT (-77.0766632 -12.0027355)
7050400617,nan,,,,,POINT (-77.0733855 -12.0085205)
7061771521,nan,,,,,POINT (-77.0715817 -12.0057664)
7286521986,nan,,,,,POINT (-77.0771943 -11.9469563)
7286521989,nan,,,,,POINT (-77.0779836 -11.9466216)
7286521990,nan,,,,,POINT (-77.0775672 -11.9476144)
7286521994,nan,,,,,POINT (-77.0782705 -11.9469712)
7443162051,nan,,,,,POINT (-77.0812535 -11.9898042)
7443355786,nan,,,,,POINT (-77.0761737 -11.9955276)
7443355789,nan,,,,,POINT (-77.07493 -11.9953577)
7468573343,nan,,,,,POINT (-77.0780026 -11.9831858)
7468573344,nan,,,,,POINT (-77.0780456 -11.9833554)
7566180404,nan,,,,,POINT (-77.0646599 -11.9898685)
7788519701,nan,,,,,POINT (-77.0768004 -11.9986473)
7788519702,nan,,,,,POINT (-77.076659 -11.9989305)
7788519703,nan,,,,,POINT (-77.0768722 -11.9984944)
7788519704,nan,,,,,POINT (-77.0768206 -11.9986059)
7788519710,nan,,,,,POINT (-77.0766892 -11.9994271)
7788519714,nan,,,,,POINT (-77.0727812 -11.9973826)
8099196620,nan,,,,,POINT (-77.0748296 -11.9532526)
8099196621,nan,,,,,POINT (-77.0747705 -11.9536066)
8099196622,nan,,,,,POINT (-77.0748858 -11.9529148)
8168659981,crossing,,,,,POINT (-77.06501 -11.9616953)
8638883491,nan,,,,,POINT (-77.0823108 -11.952249)
8981805028,nan,,,,,POINT (-77.0727589 -12.0103045)
9130904915,nan,,,,,POINT (-77.0763203 -12.0022895)
9130904916,nan,,,,,POINT (-77.0762909 -12.0027165)
9130939192,nan,,,,,POINT (-77.0817305 -11.9489713)
9130939193,nan,,,,,POINT (-77.0818949 -11.9484822)
9130944688,nan,,,,,POINT (-77.0821334 -11.9462375)
9130944690,nan,,,,,POINT (-77.0823056 -11.9469564)
9130998460,nan,,,,,POINT (-77.0754596 -11.9645917)
9130998461,nan,,,,,POINT (-77.0752959 -11.964192)
